Judul,Puisi (4 Baris)
Aku Adalah Teman,"“Segala yang ringan tak selalu terbang,
Beban yang tak tampak adalah rantai yang mengikat,
Tangan yang memberi pun bisa kehilangan,
Jika ia lupa untuk menggenggam dirinya sendiri.”"
Kereta Yang Sama,"“Jejak waktu berulang di jalur tak kasatmata,
Bayang-bayang berpaut pada ingatan yang samar,
Dalam putaran besi yang tak berujung,
Kehilangan bukan soal benda, tapi tentang yang tak disadari.”"
Selamanya Di 14 Februari,"“Waktu berputar dalam lingkaran tak tampak,
Harapan yang patah mengulang langkahnya,
Pilihan terkubur di antara ingatan dan sesal,
Dan takdir menunggu di persimpangan yang sama.”"
"Sekali Lagi, Raka","Senyum yang tertinggal di antara derai tawa,
Tak selalu hidup, namun tak pernah mati,
Di balik candaan yang sederhana,
Tersembunyi perpisahan yang tak sempat dimengerti."
Ejekan Sang Takdir,"“Takdir tertawa di persimpangan waktu,
Langkah yang diulang, bayangan yang kabur,
Di antara tanya dan keinginan untuk melawan,
Apakah kebebasan ada, atau sekadar ilusi yang dikejar?”"
"Anugerah, Atau Kutukan Sang Cakrawala?","“Cakrawala retak di batas asa,
Cahaya jatuh bukan sekadar keindahan,
Di antara anugerah dan kutukan,
Terpilih tak selalu berarti bebas.”"
Terbelenggu,"“Kenangan terjalin di antara waktu,
Suara yang hilang masih berbisik di telinga,
Di dunia tanpa kepergian,
Apakah cinta tetap hidup, atau hanya ilusi yang enggan pergi?”"
Semerbak,"“Harum yang tertinggal bukan sekadar kenangan,
Di antara pertemuan dan perpisahan,
Waktu berbisik tanpa suara,
Bahwa takdir lebih dahulu mengetuk sebelum kita menyadari.”"
Kilauan Fana,"“Cahaya yang hilang tak selalu padam,
Di balik bayang, ia berpendar dalam ingatan,
Kebenaran terkubur di rahim waktu,
Dan jiwa yang bertahan, menunggu fajar.”"
Teduh Di Tengah Benci,"“Di bawah bulan, bayangmu menghilang,
Terasing dalam doa yang tak pernah sampai,
Di antara benci dan kasih yang rapuh,
Kepulangan hanyalah kisah yang tak selesai.”"
