Judul,Puisi (4 Baris)
Berlabuh Di Antara Debur,"“Jejak yang surut tak selalu hilang,
Di pasir ingatan, ia tetap terukir,
Terpendam dalam ombak waktu,
Terbangun saat laut memanggil pulang.”"
Cendala Klandestin,"Yang terbuang tak selalu tersesat,
yang bersinar tak selalu bertahan,
Dan di balik wajah yang ramah,
kadang tangan mencengkeram bayang.”"
"Dari Matahari, Untuk Badai Salju","“Jejak yang tertinggal di angin tak selalu hilang,
Surat-surat sunyi terlipat dalam gulungan waktu,
Dan di antara pagi dan senja yang bertaut,
Seseorang menunggu jawaban.”"
Efemeral,"“Cahaya yang jatuh tak selalu padam,
Di ujung waktu, ia menari di sela bayang,
Terhisap dalam arus yang tak berulang,
Memilih antara ingatan atau kehilangan.”"
Tawa Terakhir di Bawah Langit,"“Kehidupan berulang dalam bingkai yang retak,
Tawa yang melengking adalah gema keputusasaan,
Di bawah langit yang sama, takdir hanya menari,
Bermain di atas garis tipis antara surga dan neraka.”"
Ternyata,"“Bayangan masa lalu menari di cermin retak,
Suara yang hilang menggaung di lorong sunyi,
Pada ingatan yang dikubur, kebenaran menyusup,
Mencari rumah di hati yang lupa.”"
Buku Kehidupan?,"“Pada lembaran yang tak bernama,
Kisah manusia tertulis tanpa tinta,
Takdir berulang dalam bayangan kabur,
Membaca masa depan, namun tetap tersesat.”"
Terhapus Sunyi,"“Kota yang bersuara kini dibungkam,
Malam menelan jejak yang tak tercatat,
Suara terakhir mengendap di udara,
Mencari telinga yang belum terhapus.”"
Gelombang Takdir,"“Laut memanggil dalam sunyi yang dalam,
Gelombang takdir menari di batas angan,
Pulang bukan tentang tempat yang hilang,
Tapi tentang hati yang terlambat menemukan.”"
Permata Sang Penjaga,"“Janji terukir di tepian waktu,
Dibawa angin, tertinggal di hati,
Melepas bukan tentang kehilangan,
Tapi tentang menemukan jalan yang lebih hakiki.”"
Rumah Makan Bapak,"“Takdir berjalan di meja yang sama,
Di antara suapan, di antara rindu,
Kisah yang terhidang bukan tentang rasa,
Tapi tentang pulang yang tak selalu rumah.”"
