date,event_name
2026-01-05,Masuk 😭
2026-01-10,TO IAIC
2026-01-10,Photoshoot Poster
2026-01-16,Photoshoot Poster Pt2
2026-01-17,IAIC
2026-01-18,TO INTEN
2026-01-24,OPHELIA
2026-01-26,DEADLINE PAHAMIFY
2026-01-30,Pasang Poster Ercaversary
2026-01-31,Peresmian A31
2026-01-31,TO TDS
2026-02-01,Start Erc-Project
2026-02-06,Games Day 1
2026-02-06,Nobar Angkatan
2026-02-07,Games Day 2
2026-02-07,WARMANTARA
2026-02-09,Apel: Bumantara Throwback
2026-02-13,SNPDB
2026-02-15,Anniv ASH
2026-02-15,FINAL GLADI
2026-02-16,PESTAMERTA
2026-02-22,Ramadhan 😇
