,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Agustus,,2026,,,Pemasukan,,Pengeluaran,,,Tagihan,,,Tabungan,,,,,,,,,,,
,,,,,,Rp0,,Rp0,,,Rp0,,,Rp0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Periode Anggaran,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Pilih Bulan,Agustus,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Pilih tahun,2023,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Sisa Anggaran,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Rp0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Cashflow,,,,,Tabungan,,,,,,Tagihan,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rencana,Actual,,Tanggal,Nama,Kategori,Jumlah,Keterangan,,Check,Tanggal,Nama,Jumlah,Keterangan,,,,,,,,,,
,Pemasukan,Rp0,Rp0,,,,,,,,FALSE,,,,,,,,,,,,,,
,Tabungan,Rp0,Rp0,,,,,,,,FALSE,,,,,,,,,,,,,,
,Pengeluaran,Rp0,Rp0,,,,,,,,FALSE,,,,,,,,,,,,,,
,Tagihan,Rp0,Rp0,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,Total,Rp0,Rp0,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
